,artist,album,track_name,track_id,danceability,energy,key,loudness,mode,speechiness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,like
0,Juice WRLD,Death Race For Love,Big,4rWC4tiO4NCwRHdh6vyu6b,0.768,0.641,11,-6.197,0,0.114,0,0.0912,0.231,144.963,224063,4,True
1,ScHoolboy Q,Blank Face LP,THat Part,2yJ9GVCLMmzBBfQAnfzlwr,0.927,0.535,6,-7.59,0,0.0911,0,0.136,0.336,112.96,313573,4,True
2,Shoreline Mafia,Mafia Bidness,Perc Popper,0OPcFAAo9LMO9xvu1L7JGD,0.936,0.339,1,-9.297,1,0.751,0,0.211,0.273,105.165,120857,4,True
3,Polo G,Die A Legend,Pop Out (feat. Lil Tjay),6uFn47ACjqYkc0jADwEdj1,0.772,0.639,1,-7.119,1,0.467,0,0.0698,0.261,168.112,166560,4,True
4,Drake,Dark Lane Demo Tapes,Toosie Slide,466cKvZn1j45IpxDdYZqdA,0.83,0.49,1,-8.82,0,0.209,3.04e-06,0.113,0.845,81.604,247059,4,True
5,Vinny West,DRAFT DAY,No Face No Case,3ZIc9JjtVQadMkew71IhLf,0.953,0.374,4,-11.926,0,0.39,0,0.27,0.525,102.998,191687,4,True
6,NLE Choppa,Top Shotta,Walk Em Down (feat. Roddy Ricch),1Z0cZI0UzNbP9L8MzzGxqf,0.867,0.744,2,-5.171,1,0.227,0,0.0713,0.645,84.005,173288,4,True
7,Lil Baby,Drip Harder,Drip Too Hard (Lil Baby & Gunna),78QR3Wp35dqAhFEc2qAGjE,0.897,0.662,1,-6.903,0,0.292,0,0.534,0.389,112.511,145543,4,True
8,Pimp Tobi,First Day Out,First Day Out,3wNmFf47rzE2fwumFILEtU,0.889,0.6,7,-10.723,1,0.278,0,0.0986,0.278,95.925,120048,4,True
9,P-Lo,Get Me Lit,Get Me Lit,3NHIF5vQRcSN4sGbtL2E8M,0.849,0.377,0,-8.815,0,0.0672,0,0.283,0.66,98.979,131794,4,True
10,Shoreline Mafia,Party Pack. Vol 2,Mind Right (feat. Warhol.SS),0ldvmjY7KZIdGE3wmG8H5P,0.954,0.522,8,-7.032,1,0.366,0,0.112,0.439,105.044,224413,4,True
11,Polo G,THE GOAT,Heartless (feat. Mustard),2iP3unJbxZvRuqyrS0ocZy,0.776,0.64,7,-8.058,1,0.184,0,0.101,0.326,160.038,204000,4,True
12,Trippie Redd,A Love Letter To You 4,Death,3Kd6Wp3lG5HXMB2dlvuy7y,0.802,0.82,10,-5.969,0,0.146,0,0.149,0.613,164.005,172196,4,True
